building_index,grid_id,grid_col,grid_row,x_m,y_m,A_z,zone_type
1168,11_37,11,37,763568.4881239939,2452885.729370599,62500.0,normal_urban
1169,18_35,18,35,765209.5924176392,2452346.8281389545,62500.0,normal_urban
1170,11_35,11,35,763505.4678688297,2452422.110597964,62500.0,normal_urban
1171,12_33,12,33,763794.6343604154,2452014.675316608,62500.0,dense_urban
1172,12_34,12,34,763877.7767906017,2452084.260948477,62500.0,dense_urban
1173,12_37,12,37,763855.2402965968,2452983.221387661,62500.0,dense_urban
1174,11_37,11,37,763534.9662908376,2452855.2913899394,62500.0,normal_urban
1175,11_37,11,37,763673.8312685859,2452864.9276172346,62500.0,normal_urban
1176,17_17,17,17,765007.7554026619,2448000.879928869,62500.0,dense_urban
1177,17_17,17,17,764994.0450857858,2447960.023550111,62500.0,dense_urban
1178,17_17,17,17,765036.5355992654,2447938.1753075253,62500.0,dense_urban
1179,17_17,17,17,765050.2331431131,2448001.0117440782,62500.0,dense_urban
1180,17_17,17,17,765049.9862318086,2447980.333151626,62500.0,dense_urban
1181,17_17,17,17,765049.7431668583,2447959.9892727653,62500.0,dense_urban
1182,17_17,17,17,765007.7842091583,2447980.4936681557,62500.0,dense_urban
1183,17_17,17,17,765022.4919483336,2447917.391161407,62500.0,dense_urban
1184,17_17,17,17,765009.0004515043,2447896.7590073305,62500.0,dense_urban
1185,16_17,16,17,764852.3399685298,2447852.6067086193,62500.0,dense_urban
1186,16_17,16,17,764853.116445299,2447875.197729748,62500.0,dense_urban
1187,17_17,17,17,764979.5085300221,2447934.3017782806,62500.0,dense_urban
1188,16_17,16,17,764858.6649861666,2447818.215102043,62500.0,dense_urban
1189,17_17,17,17,764979.0104396568,2447911.1933367313,62500.0,dense_urban
1190,16_17,16,17,764909.1108375494,2447907.205662652,62500.0,dense_urban
1191,16_17,16,17,764908.6827282209,2447883.8821298736,62500.0,dense_urban
1192,16_17,16,17,764852.6351450928,2448003.6151708844,62500.0,dense_urban
1193,16_17,16,17,764905.8018594529,2447930.2797814165,62500.0,dense_urban
1194,16_17,16,17,764924.3650055834,2447957.7714526355,62500.0,dense_urban
1195,16_17,16,17,764903.8086864449,2448001.911731703,62500.0,dense_urban
1196,16_17,16,17,764924.685832607,2447981.9989225515,62500.0,dense_urban
1197,13_37,13,37,764002.3100346202,2452963.1052137604,62500.0,normal_urban
1198,10_35,10,35,763217.1677549277,2452538.6508779917,62500.0,dense_urban
1199,17_18,17,18,765099.5475748511,2448229.4002017663,62500.0,dense_urban
1200,17_18,17,18,765099.587582691,2448241.850011935,62500.0,dense_urban
1201,17_18,17,18,765099.4538494105,2448218.6075424682,62500.0,dense_urban
1202,12_36,12,36,763692.9095536765,2452616.3435618025,62500.0,normal_urban
1203,16_18,16,18,764687.1882542401,2448222.456170449,62500.0,dense_urban
1204,16_18,16,18,764698.4914040726,2448225.6012839098,62500.0,dense_urban
1205,13_37,13,37,764071.8657838791,2453011.0160415056,62500.0,normal_urban
1206,10_35,10,35,763243.8590565643,2452430.5494314265,62500.0,dense_urban
1207,12_38,12,38,763783.1142814718,2453064.226249415,62500.0,dense_urban
1208,10_35,10,35,763285.0634128585,2452497.063550424,62500.0,dense_urban
1209,17_18,17,18,764996.7889893356,2448182.602734603,62500.0,dense_urban
1210,17_33,17,33,764986.4291337238,2452039.133580927,62500.0,normal_urban
1211,12_38,12,38,763726.9028061139,2453142.6618008786,62500.0,dense_urban
1212,12_38,12,38,763791.9796628356,2453225.986684434,62500.0,dense_urban
1213,12_38,12,38,763715.5392050379,2453177.491646061,62500.0,dense_urban
1214,12_38,12,38,763821.0393707054,2453194.6852605883,62500.0,dense_urban
1215,16_37,16,37,764911.3085460449,2453039.314725383,62500.0,normal_urban
